Waiting for Blazegraph to finish starting up...
2024-10-28 09:35:17.175:INFO::main: Logging initialized @1962ms to org.eclipse.jetty.util.log.StdErrLog
2024-10-28 09:35:18.253:WARN:oejx.XmlConfiguration:main: Property 'jetty.port' is deprecated, use 'jetty.http.port' instead
2024-10-28 09:35:21.071:WARN:oeja.AnnotationParser:qtp692342133-11: cern.colt.GenericSortingTest$1 scanned from multiple locations: jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/bigdata-runtime-2.1.5-SNAPSHOT.jar!/cern/colt/GenericSortingTest$1.class, jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/blazegraph-colt-2.1.5-SNAPSHOT.jar!/cern/colt/GenericSortingTest$1.class
2024-10-28 09:35:21.072:WARN:oeja.AnnotationParser:qtp692342133-12: cern.colt.GenericSorting scanned from multiple locations: jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/bigdata-runtime-2.1.5-SNAPSHOT.jar!/cern/colt/GenericSorting.class, jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/colt-1.2.0.jar!/cern/colt/GenericSorting.class
2024-10-28 09:35:21.075:WARN:oeja.AnnotationParser:qtp692342133-12: cern.colt.GenericSortingTest$1 scanned from multiple locations: jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/bigdata-runtime-2.1.5-SNAPSHOT.jar!/cern/colt/GenericSortingTest$1.class, jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/colt-1.2.0.jar!/cern/colt/GenericSortingTest$1.class
2024-10-28 09:35:21.075:WARN:oeja.AnnotationParser:qtp692342133-11: cern.colt.GenericSortingTest$2 scanned from multiple locations: jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/bigdata-runtime-2.1.5-SNAPSHOT.jar!/cern/colt/GenericSortingTest$2.class, jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/blazegraph-colt-2.1.5-SNAPSHOT.jar!/cern/colt/GenericSortingTest$2.class
2024-10-28 09:35:21.077:WARN:oeja.AnnotationParser:qtp692342133-11: cern.colt.GenericSortingTest$3 scanned from multiple locations: jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/bigdata-runtime-2.1.5-SNAPSHOT.jar!/cern/colt/GenericSortingTest$3.class, jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/blazegraph-colt-2.1.5-SNAPSHOT.jar!/cern/colt/GenericSortingTest$3.class
2024-10-28 09:35:21.080:WARN:oeja.AnnotationParser:qtp692342133-11: cern.colt.GenericSortingTest$4 scanned from multiple locations: jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/bigdata-runtime-2.1.5-SNAPSHOT.jar!/cern/colt/GenericSortingTest$4.class, jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/blazegraph-colt-2.1.5-SNAPSHOT.jar!/cern/colt/GenericSortingTest$4.class
2024-10-28 09:35:21.081:WARN:oeja.AnnotationParser:qtp692342133-11: cern.colt.GenericSortingTest scanned from multiple locations: jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/bigdata-runtime-2.1.5-SNAPSHOT.jar!/cern/colt/GenericSortingTest.class, jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/blazegraph-colt-2.1.5-SNAPSHOT.jar!/cern/colt/GenericSortingTest.class
2024-10-28 09:35:21.076:WARN:oeja.AnnotationParser:qtp692342133-12: cern.colt.GenericSortingTest$2 scanned from multiple locations: jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/bigdata-runtime-2.1.5-SNAPSHOT.jar!/cern/colt/GenericSortingTest$2.class, jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/colt-1.2.0.jar!/cern/colt/GenericSortingTest$2.class
2024-10-28 09:35:21.161:WARN:oeja.AnnotationParser:qtp692342133-12: cern.colt.GenericSortingTest$3 scanned from multiple locations: jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/bigdata-runtime-2.1.5-SNAPSHOT.jar!/cern/colt/GenericSortingTest$3.class, jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/colt-1.2.0.jar!/cern/colt/GenericSortingTest$3.class
2024-10-28 09:35:21.162:WARN:oeja.AnnotationParser:qtp692342133-12: cern.colt.GenericSortingTest$4 scanned from multiple locations: jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/bigdata-runtime-2.1.5-SNAPSHOT.jar!/cern/colt/GenericSortingTest$4.class, jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/colt-1.2.0.jar!/cern/colt/GenericSortingTest$4.class
2024-10-28 09:35:21.163:WARN:oeja.AnnotationParser:qtp692342133-12: cern.colt.GenericSortingTest scanned from multiple locations: jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/bigdata-runtime-2.1.5-SNAPSHOT.jar!/cern/colt/GenericSortingTest.class, jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/colt-1.2.0.jar!/cern/colt/GenericSortingTest.class
2024-10-28 09:35:21.163:WARN:oeja.AnnotationParser:qtp692342133-12: cern.colt.Partitioning scanned from multiple locations: jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/bigdata-runtime-2.1.5-SNAPSHOT.jar!/cern/colt/Partitioning.class, jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/colt-1.2.0.jar!/cern/colt/Partitioning.class
2024-10-28 09:35:21.163:WARN:oeja.AnnotationParser:qtp692342133-12: cern.colt.PersistentObject scanned from multiple locations: jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/bigdata-runtime-2.1.5-SNAPSHOT.jar!/cern/colt/PersistentObject.class, jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/colt-1.2.0.jar!/cern/colt/PersistentObject.class
2024-10-28 09:35:21.164:WARN:oeja.AnnotationParser:qtp692342133-12: cern.colt.Sorting scanned from multiple locations: jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/bigdata-runtime-2.1.5-SNAPSHOT.jar!/cern/colt/Sorting.class, jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/colt-1.2.0.jar!/cern/colt/Sorting.class
2024-10-28 09:35:21.170:WARN:oeja.AnnotationParser:qtp692342133-11: cern.colt.Partitioning scanned from multiple locations: jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/bigdata-runtime-2.1.5-SNAPSHOT.jar!/cern/colt/Partitioning.class, jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/blazegraph-colt-2.1.5-SNAPSHOT.jar!/cern/colt/Partitioning.class
2024-10-28 09:35:21.172:WARN:oeja.AnnotationParser:qtp692342133-11: cern.colt.PersistentObject scanned from multiple locations: jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/bigdata-runtime-2.1.5-SNAPSHOT.jar!/cern/colt/PersistentObject.class, jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/blazegraph-colt-2.1.5-SNAPSHOT.jar!/cern/colt/PersistentObject.class
2024-10-28 09:35:21.173:WARN:oeja.AnnotationParser:qtp692342133-11: cern.colt.Sorting scanned from multiple locations: jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/bigdata-runtime-2.1.5-SNAPSHOT.jar!/cern/colt/Sorting.class, jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/blazegraph-colt-2.1.5-SNAPSHOT.jar!/cern/colt/Sorting.class
2024-10-28 09:35:21.169:WARN:oeja.AnnotationParser:qtp692342133-12: cern.colt.Swapper scanned from multiple locations: jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/bigdata-runtime-2.1.5-SNAPSHOT.jar!/cern/colt/Swapper.class, jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/colt-1.2.0.jar!/cern/colt/Swapper.class
2024-10-28 09:35:21.179:WARN:oeja.AnnotationParser:qtp692342133-12: cern.colt.Timer scanned from multiple locations: jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/bigdata-runtime-2.1.5-SNAPSHOT.jar!/cern/colt/Timer.class, jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/colt-1.2.0.jar!/cern/colt/Timer.class
2024-10-28 09:35:21.179:WARN:oeja.AnnotationParser:qtp692342133-12: cern.colt.Version scanned from multiple locations: jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/bigdata-runtime-2.1.5-SNAPSHOT.jar!/cern/colt/Version.class, jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/colt-1.2.0.jar!/cern/colt/Version.class
2024-10-28 09:35:21.179:WARN:oeja.AnnotationParser:qtp692342133-12: cern.colt.bitvector.BitMatrix scanned from multiple locations: jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/bigdata-runtime-2.1.5-SNAPSHOT.jar!/cern/colt/bitvector/BitMatrix.class, jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/colt-1.2.0.jar!/cern/colt/bitvector/BitMatrix.class
2024-10-28 09:35:21.179:WARN:oeja.AnnotationParser:qtp692342133-11: cern.colt.Swapper scanned from multiple locations: jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/bigdata-runtime-2.1.5-SNAPSHOT.jar!/cern/colt/Swapper.class, jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/blazegraph-colt-2.1.5-SNAPSHOT.jar!/cern/colt/Swapper.class
2024-10-28 09:35:21.180:WARN:oeja.AnnotationParser:qtp692342133-12: cern.colt.bitvector.BitVector$1 scanned from multiple locations: jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/bigdata-runtime-2.1.5-SNAPSHOT.jar!/cern/colt/bitvector/BitVector$1.class, jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/colt-1.2.0.jar!/cern/colt/bitvector/BitVector$1.class
2024-10-28 09:35:21.181:WARN:oeja.AnnotationParser:qtp692342133-11: cern.colt.Timer scanned from multiple locations: jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/bigdata-runtime-2.1.5-SNAPSHOT.jar!/cern/colt/Timer.class, jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/blazegraph-colt-2.1.5-SNAPSHOT.jar!/cern/colt/Timer.class
2024-10-28 09:35:21.181:WARN:oeja.AnnotationParser:qtp692342133-12: cern.colt.bitvector.BitVector$IndexProcedure scanned from multiple locations: jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/bigdata-runtime-2.1.5-SNAPSHOT.jar!/cern/colt/bitvector/BitVector$IndexProcedure.class, jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/colt-1.2.0.jar!/cern/colt/bitvector/BitVector$IndexProcedure.class
2024-10-28 09:35:21.181:WARN:oeja.AnnotationParser:qtp692342133-12: cern.colt.bitvector.BitVector scanned from multiple locations: jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/bigdata-runtime-2.1.5-SNAPSHOT.jar!/cern/colt/bitvector/BitVector.class, jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/colt-1.2.0.jar!/cern/colt/bitvector/BitVector.class
2024-10-28 09:35:21.182:WARN:oeja.AnnotationParser:qtp692342133-12: cern.colt.bitvector.QuickBitVector scanned from multiple locations: jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/bigdata-runtime-2.1.5-SNAPSHOT.jar!/cern/colt/bitvector/QuickBitVector.class, jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/colt-1.2.0.jar!/cern/colt/bitvector/QuickBitVector.class
2024-10-28 09:35:21.182:WARN:oeja.AnnotationParser:qtp692342133-12: cern.colt.buffer.DoubleBuffer scanned from multiple locations: jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/bigdata-runtime-2.1.5-SNAPSHOT.jar!/cern/colt/buffer/DoubleBuffer.class, jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/colt-1.2.0.jar!/cern/colt/buffer/DoubleBuffer.class
2024-10-28 09:35:21.182:WARN:oeja.AnnotationParser:qtp692342133-12: cern.colt.buffer.DoubleBuffer2D scanned from multiple locations: jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/bigdata-runtime-2.1.5-SNAPSHOT.jar!/cern/colt/buffer/DoubleBuffer2D.class, jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/colt-1.2.0.jar!/cern/colt/buffer/DoubleBuffer2D.class
2024-10-28 09:35:21.183:WARN:oeja.AnnotationParser:qtp692342133-12: cern.colt.buffer.DoubleBuffer2DConsumer scanned from multiple locations: jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/bigdata-runtime-2.1.5-SNAPSHOT.jar!/cern/colt/buffer/DoubleBuffer2DConsumer.class, jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/colt-1.2.0.jar!/cern/colt/buffer/DoubleBuffer2DConsumer.class
2024-10-28 09:35:21.184:WARN:oeja.AnnotationParser:qtp692342133-12: cern.colt.buffer.DoubleBuffer3D scanned from multiple locations: jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/bigdata-runtime-2.1.5-SNAPSHOT.jar!/cern/colt/buffer/DoubleBuffer3D.class, jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/colt-1.2.0.jar!/cern/colt/buffer/DoubleBuffer3D.class
2024-10-28 09:35:21.184:WARN:oeja.AnnotationParser:qtp692342133-12: cern.colt.buffer.DoubleBuffer3DConsumer scanned from multiple locations: jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/bigdata-runtime-2.1.5-SNAPSHOT.jar!/cern/colt/buffer/DoubleBuffer3DConsumer.class, jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/colt-1.2.0.jar!/cern/colt/buffer/DoubleBuffer3DConsumer.class
2024-10-28 09:35:21.184:WARN:oeja.AnnotationParser:qtp692342133-12: cern.colt.buffer.DoubleBufferConsumer scanned from multiple locations: jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/bigdata-runtime-2.1.5-SNAPSHOT.jar!/cern/colt/buffer/DoubleBufferConsumer.class, jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/colt-1.2.0.jar!/cern/colt/buffer/DoubleBufferConsumer.class
2024-10-28 09:35:21.185:WARN:oeja.AnnotationParser:qtp692342133-12: cern.colt.buffer.IntBuffer scanned from multiple locations: jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/bigdata-runtime-2.1.5-SNAPSHOT.jar!/cern/colt/buffer/IntBuffer.class, jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/colt-1.2.0.jar!/cern/colt/buffer/IntBuffer.class
2024-10-28 09:35:21.185:WARN:oeja.AnnotationParser:qtp692342133-12: cern.colt.buffer.IntBuffer2D scanned from multiple locations: jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/bigdata-runtime-2.1.5-SNAPSHOT.jar!/cern/colt/buffer/IntBuffer2D.class, jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/colt-1.2.0.jar!/cern/colt/buffer/IntBuffer2D.class
2024-10-28 09:35:21.186:WARN:oeja.AnnotationParser:qtp692342133-12: cern.colt.buffer.IntBuffer2DConsumer scanned from multiple locations: jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/bigdata-runtime-2.1.5-SNAPSHOT.jar!/cern/colt/buffer/IntBuffer2DConsumer.class, jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/colt-1.2.0.jar!/cern/colt/buffer/IntBuffer2DConsumer.class
2024-10-28 09:35:21.187:WARN:oeja.AnnotationParser:qtp692342133-12: cern.colt.buffer.IntBuffer3D scanned from multiple locations: jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/bigdata-runtime-2.1.5-SNAPSHOT.jar!/cern/colt/buffer/IntBuffer3D.class, jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/colt-1.2.0.jar!/cern/colt/buffer/IntBuffer3D.class
2024-10-28 09:35:21.242:WARN:oeja.AnnotationParser:qtp692342133-11: cern.colt.Version scanned from multiple locations: jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/bigdata-runtime-2.1.5-SNAPSHOT.jar!/cern/colt/Version.class, jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/blazegraph-colt-2.1.5-SNAPSHOT.jar!/cern/colt/Version.class
2024-10-28 09:35:21.241:WARN:oeja.AnnotationParser:qtp692342133-12: cern.colt.buffer.IntBuffer3DConsumer scanned from multiple locations: jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/bigdata-runtime-2.1.5-SNAPSHOT.jar!/cern/colt/buffer/IntBuffer3DConsumer.class, jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/colt-1.2.0.jar!/cern/colt/buffer/IntBuffer3DConsumer.class
2024-10-28 09:35:21.244:WARN:oeja.AnnotationParser:qtp692342133-12: cern.colt.buffer.IntBufferConsumer scanned from multiple locations: jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/bigdata-runtime-2.1.5-SNAPSHOT.jar!/cern/colt/buffer/IntBufferConsumer.class, jar:file:///tmp/jetty-0.0.0.0-8000-bigdata.war-_bigdata-any-2071999745867119209.dir/webapp/WEB-INF/lib/colt-1.2.0.jar!/cern/colt/buffer/IntBufferConsumer.class
